categoryId,name_en,code,sort,del_flag,create_by,create_time,name_cn,name_de,name_es,name_fr,name_jp,name_pt,name_ru,name_tw
1,Network Resources,网络资源,,0,0,2024-09-20 09:34:25.484873+00,网络资源,Netzwerkressourcen,Recursos de red,Ressources réseau,ネットワークリソース,Recursos de rede,Сетевые ресурсы,網絡資源
2,Social Media Resources,社媒资源,,0,0,2024-09-18 08:59:22.174159+00,社媒资源,Soziale Medien Ressourcen,Recursos de Redes Sociales,Ressources en Réseaux Sociaux,ソーシャルメディアリソース,Recursos de Mídias Sociais,Ресурсы социальных сетей,社群媒體資源
3,AI Tools,AI工具,,0,0,2024-09-18 08:59:22.174159+00,AI工具,KI Werkzeuge,Herramientas de IA,Outils d'IA,AIツール,Ferramentas de IA,Инструменты ИИ,AI 工具
4,Cryptocurrency,数字货币,,0,0,2024-09-18 08:59:22.174159+00,数字货币,Kryptowährung,Criptomoneda,Cryptomonnaie,暗号通貨,Criptomoeda,Криптовалюта,數位貨幣
5,Facebook,Facebook,,0,0,2024-09-18 08:59:22.174159+00,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook
6,Google,Google,,0,0,2024-09-18 08:59:22.174159+00,Google,Google,Google,Google,Google,Google,Google,Google
7,Content Creation,内容制作,,0,0,2024-09-18 08:59:22.174159+00,内容制作,Inhaltserstellung,Creación de Contenidos,Création de Contenus,コンテンツ制作,Criação de Conteúdos,Создание контента,內容製作
8,Technical Communication,技术交流,,0,0,2024-09-18 08:59:22.174159+00,技术交流,Technischer Austausch,Comunicación Técnica,Échange Technique,技術交流,Comunicação Técnica,Техническое общение,技術交流
9,Cross-border Services,跨境服务,,0,0,2024-09-18 08:59:22.174159+00,跨境服务,Grenzüberschreitende Dienstleistungen,Servicios Transfronterizos,Services Transfrontaliers,越境サービス,Serviços Transfronteiriços,Трансграничные услуги,跨境服務
10,Cross-border E-commerce,跨境电商,,0,0,2024-09-18 08:59:22.174159+00,跨境电商,Grenzüberschreitender E-Commerce,Comercio Electrónico Transfronterizo,Commerce Électronique Transfrontalier,越境EC,Comércio Eletrônico Transfronteiriço,Трансграничная электронная коммерция,跨境電商
11,TikTok,TikTok,,0,0,2024-09-20 09:00:00.829323+00,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok,TikTok
12,Independent Website,独立站,,0,0,2024-09-20 09:00:00.829323+00,独立站,Independent Website,Independent Website,Independent Website,Independent Website,Independent Website,Independent Website,独立站
13,Comprehensive Software,综合软件,,0,0,2024-09-20 09:00:00.829323+00,综合软件,Comprehensive Software,Comprehensive Software,Comprehensive Software,Comprehensive Software,Comprehensive Software,Comprehensive Software,综合软件
14,Practical Tools,实用工具,,0,0,2024-09-20 09:00:00.829323+00,实用工具,Practical Tools,Practical Tools,Practical Tools,Practical Tools,Practical Tools,Practical Tools,实用工具
15,Proxy,proxy,0,0,0,2024-09-14 02:07:36+00,代理,Vertreter,Agente,Agente,プロキシ,Agente,Агент,代理
16,Marketing Tools,营销工具,0,0,0,2024-09-20 09:00:00.829323+00,营销工具,Marketing-Tools,Herramientas de Marketing,Outils de Marketing,マーケティングツール,Ferramentas de Marketing,Маркетинговые инструменты,營銷工具
17,Cross-border Information,跨境资讯,,0,0,2024-09-18 08:59:22.174159+00,跨境资讯,Grenzüberschreitende Informationen,Información Transfronteriza,Informations Transfrontalières,越境情報,Informações Transfronteiriças,Трансграничная информация,跨境資訊
18,Cross-border Promotion,跨境推广,,0,0,2024-09-20 09:00:00.829323+00,跨境推广,Cross-border Promotion,Cross-border Promotion,Cross-border Promotion,Cross-border Promotion,Cross-border Promotion,Cross-border Promotion,跨境推广
19,Cross-border Finance,跨境金融,,0,0,2024-09-20 09:00:00.829323+00,跨境金融,Cross-border Finance,Cross-border Finance,Cross-border Finance,Cross-border Finance,Cross-border Finance,Cross-border Finance,跨境金融
